Day,entity_id,Name,observed_primary_sales,observed_intermediary_sales,Observed Transactions,Observed Customers,,,,,,,,,,,,,,,,,,,
8/15/22,SQSP,Squarespace Inc,1467,88622,1659,1541,,,,,,,,,,,,,,,,,,,
8/16/22,SQSP,Squarespace Inc,2095,101978,1676,1575,,,,,,,,,,,,,,,,,,,
8/17/22,SQSP,Squarespace Inc,4280,73353,1580,1518,,,,,,,,,,,,,,,,,,,
8/18/22,SQSP,Squarespace Inc,2420,52838,1321,1253,,,,,,,,,,,,,,,,,,,
8/19/22,SQSP,Squarespace Inc,1495,79306,1465,1379,,,,,,,,,,,,,,,,,,,
8/20/22,SQSP,Squarespace Inc,2659,62541,1200,1177,,,,,,,,,,,,,,,,,,,
8/21/22,SQSP,Squarespace Inc,1423,75067,1396,1283,,,,,,,,,,,,,,,,,,,
8/22/22,SQSP,Squarespace Inc,1662,71426,1486,1370,,,,,,,,,,,,,,,,,,,
8/23/22,SQSP,Squarespace Inc,1431,70017,1355,1220,,,,,,,,,,,,,,,,,,,
8/24/22,SQSP,Squarespace Inc,3455,65067,1553,1439,,,,,,,,,,,,,,,,,,,
8/25/22,SQSP,Squarespace Inc,2086,84960,1520,1393,,,,,,,,,,,,,,,,,,,
8/26/22,SQSP,Squarespace Inc,6028,78924,1459,1425,,,,,,,,,,,,,,,,,,,
8/27/22,SQSP,Squarespace Inc,1619,74044,1462,1408,,,,,,,,,,,,,,,,,,,
8/28/22,SQSP,Squarespace Inc,1953,79756,2030,1893,,,,,,,,,,,,,,,,,,,
8/29/22,SQSP,Squarespace Inc,1169,47858,879,825,,,,,,,,,,,,,,,,,,,
8/30/22,SQSP,Squarespace Inc,2438,53053,960,894,,,,,,,,,,,,,,,,,,,
8/31/22,SQSP,Squarespace Inc,764,59475,929,868,,,,,,,,,,,,,,,,,,,
9/1/22,SQSP,Squarespace Inc,2608,117969,2501,2368,,,,,,,,,,,,,,,,,,,
9/2/22,SQSP,Squarespace Inc,1804,68076,1549,1448,,,,,,,,,,,,,,,,,,,
9/3/22,SQSP,Squarespace Inc,1589,79000,1398,1358,,,,,,,,,,,,,,,,,,,
9/4/22,SQSP,Squarespace Inc,1609,82871,1530,1464,,,,,,,,,,,,,,,,,,,
9/5/22,SQSP,Squarespace Inc,2848,74000,1356,1271,,,,,,,,,,,,,,,,,,,
9/6/22,SQSP,Squarespace Inc,1513,77212,1455,1378,,,,,,,,,,,,,,,,,,,
9/7/22,SQSP,Squarespace Inc,1252,93144,1731,1666,,,,,,,,,,,,,,,,,,,
9/8/22,SQSP,Squarespace Inc,4325,83860,1623,1594,,,,,,,,,,,,,,,,,,,
9/9/22,SQSP,Squarespace Inc,1498,88300,1477,1419,,,,,,,,,,,,,,,,,,,
9/10/22,SQSP,Squarespace Inc,2493,60767,1400,1282,,,,,,,,,,,,,,,,,,,
9/11/22,SQSP,Squarespace Inc,1462,72391,1348,1285,,,,,,,,,,,,,,,,,,,
9/12/22,SQSP,Squarespace Inc,6055,64816,1519,1412,,,,,,,,,,,,,,,,,,,
9/13/22,SQSP,Squarespace Inc,1787,89071,1532,1404,,,,,,,,,,,,,,,,,,,
9/14/22,SQSP,Squarespace Inc,1174,58229,1221,1198,,,,,,,,,,,,,,,,,,,
9/15/22,SQSP,Squarespace Inc,2117,73296,1589,1482,,,,,,,,,,,,,,,,,,,
9/16/22,SQSP,Squarespace Inc,1889,66993,1378,1310,,,,,,,,,,,,,,,,,,,
9/17/22,SQSP,Squarespace Inc,2008,65496,1478,1449,,,,,,,,,,,,,,,,,,,
9/18/22,SQSP,Squarespace Inc,3246,59011,1283,1250,,,,,,,,,,,,,,,,,,,
9/19/22,SQSP,Squarespace Inc,1690,101899,1578,1504,,,,,,,,,,,,,,,,,,,
9/20/22,SQSP,Squarespace Inc,1924,63310,1269,1206,,,,,,,,,,,,,,,,,,,
9/21/22,SQSP,Squarespace Inc,1690,65016,1422,1335,,,,,,,,,,,,,,,,,,,
9/22/22,SQSP,Squarespace Inc,1402,88660,1401,1313,,,,,,,,,,,,,,,,,,,
9/23/22,SQSP,Squarespace Inc,1218,78561,1516,1442,,,,,,,,,,,,,,,,,,,
9/24/22,SQSP,Squarespace Inc,1704,56815,1291,1253,,,,,,,,,,,,,,,,,,,
9/25/22,SQSP,Squarespace Inc,1932,64616,1255,1221,,,,,,,,,,,,,,,,,,,
9/26/22,SQSP,Squarespace Inc,1700,77510,1362,1226,,,,,,,,,,,,,,,,,,,
9/27/22,SQSP,Squarespace Inc,2323,79715,1636,1580,,,,,,,,,,,,,,,,,,,
9/28/22,SQSP,Squarespace Inc,2566,109677,2162,1979,,,,,,,,,,,,,,,,,,,
9/29/22,SQSP,Squarespace Inc,1572,64079,915,854,,,,,,,,,,,,,,,,,,,
9/30/22,SQSP,Squarespace Inc,3168,86035,1305,1224,,,,,,,,,,,,,,,,,,,
10/1/22,SQSP,Squarespace Inc,2565,97115,2372,2219,,,,,,,,,,,,,,,,,,,
10/2/22,SQSP,Squarespace Inc,2412,51839,1361,1285,,,,,,,,,,,,,,,,,,,
10/3/22,SQSP,Squarespace Inc,3093,77818,1542,1387,,,,,,,,,,,,,,,,,,,
10/4/22,SQSP,Squarespace Inc,2109,98432,1705,1627,,,,,,,,,,,,,,,,,,,
10/5/22,SQSP,Squarespace Inc,1522,76160,1479,1411,,,,,,,,,,,,,,,,,,,
10/6/22,SQSP,Squarespace Inc,2474,78754,1501,1399,,,,,,,,,,,,,,,,,,,
10/7/22,SQSP,Squarespace Inc,2262,81381,1655,1596,,,,,,,,,,,,,,,,,,,
10/8/22,SQSP,Squarespace Inc,2201,83001,1579,1480,,,,,,,,,,,,,,,,,,,
10/9/22,SQSP,Squarespace Inc,1513,84568,1419,1391,,,,,,,,,,,,,,,,,,,
10/10/22,SQSP,Squarespace Inc,2442,60808,1331,1258,,,,,,,,,,,,,,,,,,,
10/11/22,SQSP,Squarespace Inc,1483,82190,1466,1369,,,,,,,,,,,,,,,,,,,
10/12/22,SQSP,Squarespace Inc,1724,89139,1685,1550,,,,,,,,,,,,,,,,,,,
10/13/22,SQSP,Squarespace Inc,2057,79503,1471,1404,,,,,,,,,,,,,,,,,,,
10/14/22,SQSP,Squarespace Inc,1713,78868,1497,1351,,,,,,,,,,,,,,,,,,,
10/15/22,SQSP,Squarespace Inc,2510,69666,1565,1481,,,,,,,,,,,,,,,,,,,
10/16/22,SQSP,Squarespace Inc,1526,61674,1514,1395,,,,,,,,,,,,,,,,,,,
10/17/22,SQSP,Squarespace Inc,1696,72530,1461,1363,,,,,,,,,,,,,,,,,,,
10/18/22,SQSP,Squarespace Inc,1962,67920,1368,1325,,,,,,,,,,,,,,,,,,,
10/19/22,SQSP,Squarespace Inc,2863,105315,1694,1554,,,,,,,,,,,,,,,,,,,
10/20/22,SQSP,Squarespace Inc,1778,75614,1364,1265,,,,,,,,,,,,,,,,,,,
10/21/22,SQSP,Squarespace Inc,1462,71519,1496,1384,,,,,,,,,,,,,,,,,,,
10/22/22,SQSP,Squarespace Inc,1385,57328,1407,1364,,,,,,,,,,,,,,,,,,,
10/23/22,SQSP,Squarespace Inc,1416,67422,1184,1127,,,,,,,,,,,,,,,,,,,
10/24/22,SQSP,Squarespace Inc,1671,68788,1410,1356,,,,,,,,,,,,,,,,,,,
10/25/22,SQSP,Squarespace Inc,2575,78351,1441,1327,,,,,,,,,,,,,,,,,,,
10/26/22,SQSP,Squarespace Inc,1333,69802,1309,1242,,,,,,,,,,,,,,,,,,,
10/27/22,SQSP,Squarespace Inc,2057,75689,1621,1550,,,,,,,,,,,,,,,,,,,
10/28/22,SQSP,Squarespace Inc,4780,96684,2210,2058,,,,,,,,,,,,,,,,,,,
10/29/22,SQSP,Squarespace Inc,2880,66242,812,778,,,,,,,,,,,,,,,,,,,
10/30/22,SQSP,Squarespace Inc,2157,52668,906,822,,,,,,,,,,,,,,,,,,,
10/31/22,SQSP,Squarespace Inc,886,60219,862,773,,,,,,,,,,,,,,,,,,,
11/1/22,SQSP,Squarespace Inc,1932,127888,2291,2184,,,,,,,,,,,,,,,,,,,
11/2/22,SQSP,Squarespace Inc,2712,86803,1477,1388,,,,,,,,,,,,,,,,,,,
11/3/22,SQSP,Squarespace Inc,1612,74350,1445,1365,,,,,,,,,,,,,,,,,,,
11/4/22,SQSP,Squarespace Inc,1314,107456,1627,1563,,,,,,,,,,,,,,,,,,,
11/5/22,SQSP,Squarespace Inc,995,97315,1360,1325,,,,,,,,,,,,,,,,,,,
11/6/22,SQSP,Squarespace Inc,1092,59481,1280,1241,,,,,,,,,,,,,,,,,,,
11/7/22,SQSP,Squarespace Inc,1048,87875,1809,1675,,,,,,,,,,,,,,,,,,,
11/8/22,SQSP,Squarespace Inc,2251,89095,1652,1575,,,,,,,,,,,,,,,,,,,
11/9/22,SQSP,Squarespace Inc,1030,86343,1484,1396,,,,,,,,,,,,,,,,,,,
11/10/22,SQSP,Squarespace Inc,1810,85464,1566,1529,,,,,,,,,,,,,,,,,,,
11/11/22,SQSP,Squarespace Inc,1388,92060,1489,1425,,,,,,,,,,,,,,,,,,,
11/12/22,SQSP,Squarespace Inc,2339,82698,1614,1540,,,,,,,,,,,,,,,,,,,
11/13/22,SQSP,Squarespace Inc,2543,79038,1446,1418,,,,,,,,,,,,,,,,,,,
11/14/22,SQSP,Squarespace Inc,815,114528,1469,1267,,,,,,,,,,,,,,,,,,,
11/15/22,SQSP,Squarespace Inc,2230,89863,1704,1636,,,,,,,,,,,,,,,,,,,
11/16/22,SQSP,Squarespace Inc,1271,97876,1679,1561,,,,,,,,,,,,,,,,,,,
11/17/22,SQSP,Squarespace Inc,1901,107843,1659,1519,,,,,,,,,,,,,,,,,,,
11/18/22,SQSP,Squarespace Inc,1556,69269,1382,1342,,,,,,,,,,,,,,,,,,,
11/19/22,SQSP,Squarespace Inc,3996,64743,1450,1406,,,,,,,,,,,,,,,,,,,
11/20/22,SQSP,Squarespace Inc,1969,59967,1159,1122,,,,,,,,,,,,,,,,,,,
11/21/22,SQSP,Squarespace Inc,1211,58993,1428,1334,,,,,,,,,,,,,,,,,,,
11/22/22,SQSP,Squarespace Inc,1610,59961,1344,1239,,,,,,,,,,,,,,,,,,,
11/23/22,SQSP,Squarespace Inc,808,62296,1355,1275,,,,,,,,,,,,,,,,,,,
11/24/22,SQSP,Squarespace Inc,1789,42639,1147,1132,,,,,,,,,,,,,,,,,,,
11/25/22,SQSP,Squarespace Inc,1958,62688,1341,1208,,,,,,,,,,,,,,,,,,,
11/26/22,SQSP,Squarespace Inc,1713,64507,1280,1166,,,,,,,,,,,,,,,,,,,
11/27/22,SQSP,Squarespace Inc,1022,72048,1706,1557,,,,,,,,,,,,,,,,,,,
11/28/22,SQSP,Squarespace Inc,1519,102341,2286,2122,,,,,,,,,,,,,,,,,,,
11/29/22,SQSP,Squarespace Inc,3993,56231,970,863,,,,,,,,,,,,,,,,,,,
11/30/22,SQSP,Squarespace Inc,2797,56851,1232,1057,,,,,,,,,,,,,,,,,,,
12/1/22,SQSP,Squarespace Inc,1674,139516,2482,2271,,,,,,,,,,,,,,,,,,,
12/2/22,SQSP,Squarespace Inc,1527,89878,1472,1396,,,,,,,,,,,,,,,,,,,
12/3/22,SQSP,Squarespace Inc,1820,71240,1429,1322,,,,,,,,,,,,,,,,,,,
12/4/22,SQSP,Squarespace Inc,1441,87338,1554,1457,,,,,,,,,,,,,,,,,,,
12/5/22,SQSP,Squarespace Inc,756,52683,1276,1236,,,,,,,,,,,,,,,,,,,
12/6/22,SQSP,Squarespace Inc,1252,103123,1674,1405,,,,,,,,,,,,,,,,,,,
