Day,entity_id,Name,Observed Sales,Observed Transactions,Observed Customers,Sales per Customer,Average Transaction Value,Transactions per Customer
2019-08-20,DocuSign,DocuSign Inc,11028.38,68.0,68.0,162.18,162.18,1.0
2019-08-21,DocuSign,DocuSign Inc,9416.62,125.0,124.0,75.94,75.33,1.01
2019-08-22,DocuSign,DocuSign Inc,5157.3,79.0,79.0,65.28,65.28,1.0
2019-08-23,DocuSign,DocuSign Inc,13165.71,107.0,107.0,123.04,123.04,1.0
2019-08-24,DocuSign,DocuSign Inc,6457.31,105.0,93.0,69.43,61.5,1.13
2019-08-25,DocuSign,DocuSign Inc,6523.55,79.0,69.0,94.54,82.58,1.14
2019-08-26,DocuSign,DocuSign Inc,12031.78,109.0,102.0,117.96,110.38,1.07
2019-08-27,DocuSign,DocuSign Inc,9425.52,130.0,129.0,73.07,72.5,1.01
2019-08-28,DocuSign,DocuSign Inc,15767.79,102.0,101.0,156.12,154.59,1.01
2019-08-29,DocuSign,DocuSign Inc,7986.16,65.0,64.0,124.78,122.86,1.02
2019-08-30,DocuSign,DocuSign Inc,4343.78,61.0,60.0,72.4,71.21,1.02
2019-08-31,DocuSign,DocuSign Inc,5333.83,28.0,28.0,190.49,190.49,1.0
2019-09-01,DocuSign,DocuSign Inc,7427.4,143.0,143.0,51.94,51.94,1.0
2019-09-02,DocuSign,DocuSign Inc,4916.74,73.0,72.0,68.29,67.35,1.01
2019-09-03,DocuSign,DocuSign Inc,4940.56,79.0,73.0,67.68,62.54,1.08
2019-09-04,DocuSign,DocuSign Inc,11466.17,116.0,107.0,107.16,98.85,1.08
2019-09-05,DocuSign,DocuSign Inc,5995.07,73.0,68.0,88.16,82.12,1.07
2019-09-06,DocuSign,DocuSign Inc,5484.03,89.0,85.0,64.52,61.62,1.05
2019-09-07,DocuSign,DocuSign Inc,5411.3,67.0,63.0,85.89,80.77,1.06
2019-09-08,DocuSign,DocuSign Inc,5151.1,59.0,59.0,87.31,87.31,1.0
2019-09-09,DocuSign,DocuSign Inc,7286.59,75.0,75.0,97.15,97.15,1.0
2019-09-10,DocuSign,DocuSign Inc,18718.46,157.0,157.0,119.23,119.23,1.0
2019-09-11,DocuSign,DocuSign Inc,14169.07,111.0,104.0,136.24,127.65,1.07
2019-09-12,DocuSign,DocuSign Inc,11208.32,116.0,113.0,99.19,96.62,1.03
2019-09-13,DocuSign,DocuSign Inc,10011.63,98.0,89.0,112.49,102.16,1.1
2019-09-14,DocuSign,DocuSign Inc,13478.05,103.0,103.0,130.85,130.85,1.0
2019-09-15,DocuSign,DocuSign Inc,8282.48,110.0,110.0,75.3,75.3,1.0
2019-09-16,DocuSign,DocuSign Inc,9634.08,87.0,86.0,112.02,110.74,1.01
2019-09-17,DocuSign,DocuSign Inc,7985.15,85.0,83.0,96.21,93.94,1.02
2019-09-18,DocuSign,DocuSign Inc,9936.8,81.0,79.0,125.78,122.68,1.03
2019-09-19,DocuSign,DocuSign Inc,7191.27,84.0,84.0,85.61,85.61,1.0
2019-09-20,DocuSign,DocuSign Inc,9007.28,87.0,85.0,105.97,103.53,1.02
2019-09-21,DocuSign,DocuSign Inc,9892.64,135.0,127.0,77.89,73.28,1.06
2019-09-22,DocuSign,DocuSign Inc,8395.17,82.0,82.0,102.38,102.38,1.0
2019-09-23,DocuSign,DocuSign Inc,8325.94,105.0,105.0,79.29,79.29,1.0
2019-09-24,DocuSign,DocuSign Inc,21438.92,124.0,123.0,174.3,172.89,1.01
2019-09-25,DocuSign,DocuSign Inc,8625.37,66.0,66.0,130.69,130.69,1.0
2019-09-26,DocuSign,DocuSign Inc,11465.57,79.0,78.0,146.99,145.13,1.01
2019-09-27,DocuSign,DocuSign Inc,9331.54,140.0,140.0,66.65,66.65,1.0
2019-09-28,DocuSign,DocuSign Inc,2399.71,40.0,39.0,61.53,59.99,1.03
2019-09-29,DocuSign,DocuSign Inc,2388.36,41.0,40.0,59.71,58.25,1.02
2019-09-30,DocuSign,DocuSign Inc,2467.99,49.0,48.0,51.42,50.37,1.02
2019-10-01,DocuSign,DocuSign Inc,8090.66,116.0,116.0,69.75,69.75,1.0
2019-10-02,DocuSign,DocuSign Inc,10982.86,102.0,102.0,107.68,107.68,1.0
2019-10-03,DocuSign,DocuSign Inc,28979.77,138.0,138.0,210.0,210.0,1.0
2019-10-04,DocuSign,DocuSign Inc,11885.02,112.0,111.0,107.07,106.12,1.01
2019-10-05,DocuSign,DocuSign Inc,10192.9,95.0,95.0,107.29,107.29,1.0
2019-10-06,DocuSign,DocuSign Inc,2311.12,61.0,61.0,37.89,37.89,1.0
2019-10-07,DocuSign,DocuSign Inc,3355.72,55.0,51.0,65.8,61.01,1.08
2019-10-08,DocuSign,DocuSign Inc,8386.28,69.0,66.0,127.06,121.54,1.05
2019-10-09,DocuSign,DocuSign Inc,11662.24,90.0,89.0,131.04,129.58,1.01
2019-10-10,DocuSign,DocuSign Inc,15020.07,139.0,139.0,108.06,108.06,1.0
2019-10-11,DocuSign,DocuSign Inc,6531.43,85.0,84.0,77.76,76.84,1.01
2019-10-12,DocuSign,DocuSign Inc,11965.44,121.0,121.0,98.89,98.89,1.0
2019-10-13,DocuSign,DocuSign Inc,7119.96,91.0,91.0,78.24,78.24,1.0
2019-10-14,DocuSign,DocuSign Inc,4376.94,67.0,59.0,74.19,65.33,1.14
2019-10-15,DocuSign,DocuSign Inc,9030.84,124.0,121.0,74.64,72.83,1.02
2019-10-16,DocuSign,DocuSign Inc,9425.61,97.0,94.0,100.27,97.17,1.03
2019-10-17,DocuSign,DocuSign Inc,6706.41,14.0,11.0,609.67,479.03,1.27
2019-10-18,DocuSign,DocuSign Inc,7520.47,88.0,84.0,89.53,85.46,1.05
2019-10-19,DocuSign,DocuSign Inc,8713.2,65.0,65.0,134.05,134.05,1.0
2019-10-20,DocuSign,DocuSign Inc,19096.89,118.0,107.0,178.48,161.84,1.1
2019-10-21,DocuSign,DocuSign Inc,13219.66,108.0,97.0,136.29,122.4,1.11
2019-10-22,DocuSign,DocuSign Inc,14514.23,133.0,121.0,119.95,109.13,1.1
2019-10-23,DocuSign,DocuSign Inc,22512.16,196.0,159.0,141.59,114.86,1.23
2019-10-24,DocuSign,DocuSign Inc,14115.36,124.0,106.0,133.16,113.83,1.17
2019-10-25,DocuSign,DocuSign Inc,8423.42,88.0,82.0,102.72,95.72,1.07
2019-10-26,DocuSign,DocuSign Inc,18274.93,129.0,129.0,141.67,141.67,1.0
2019-10-27,DocuSign,DocuSign Inc,4643.12,108.0,107.0,43.39,42.99,1.01
2019-10-28,DocuSign,DocuSign Inc,3573.48,47.0,47.0,76.03,76.03,1.0
2019-10-29,DocuSign,DocuSign Inc,17282.93,76.0,74.0,233.55,227.41,1.03
2019-10-30,DocuSign,DocuSign Inc,8464.6,68.0,58.0,145.94,124.48,1.17
2019-10-31,DocuSign,DocuSign Inc,5156.76,48.0,48.0,107.43,107.43,1.0
2019-11-01,DocuSign,DocuSign Inc,12039.72,148.0,147.0,81.9,81.35,1.01
2019-11-02,DocuSign,DocuSign Inc,3738.7,56.0,56.0,66.76,66.76,1.0
2019-11-03,DocuSign,DocuSign Inc,6300.38,71.0,70.0,90.01,88.74,1.01
2019-11-04,DocuSign,DocuSign Inc,7746.36,105.0,105.0,73.77,73.77,1.0
2019-11-05,DocuSign,DocuSign Inc,6475.44,64.0,64.0,101.18,101.18,1.0
2019-11-06,DocuSign,DocuSign Inc,4375.61,79.0,79.0,55.39,55.39,1.0
2019-11-07,DocuSign,DocuSign Inc,8715.42,85.0,85.0,102.53,102.53,1.0
2019-11-08,DocuSign,DocuSign Inc,7237.55,76.0,76.0,95.23,95.23,1.0
2019-11-09,DocuSign,DocuSign Inc,5079.41,75.0,72.0,70.55,67.73,1.04
2019-11-10,DocuSign,DocuSign Inc,9064.36,111.0,104.0,87.16,81.66,1.07
2019-11-11,DocuSign,DocuSign Inc,7584.28,79.0,71.0,106.82,96.0,1.11
2019-11-12,DocuSign,DocuSign Inc,15361.11,168.0,157.0,97.84,91.44,1.07
2019-11-13,DocuSign,DocuSign Inc,7983.27,106.0,97.0,82.3,75.31,1.09
2019-11-14,DocuSign,DocuSign Inc,12100.24,107.0,101.0,119.8,113.09,1.06
2019-11-15,DocuSign,DocuSign Inc,21571.18,190.0,165.0,130.73,113.53,1.15
2019-11-16,DocuSign,DocuSign Inc,11663.1,158.0,132.0,88.36,73.82,1.2
2019-11-17,DocuSign,DocuSign Inc,4146.71,110.0,85.0,48.78,37.7,1.29
2019-11-18,DocuSign,DocuSign Inc,44074.46,131.0,105.0,419.76,336.45,1.25
2019-11-19,DocuSign,DocuSign Inc,13245.87,153.0,127.0,104.3,86.57,1.2
